time,speed,throttle
722760434,207624.0234375,70.0
722957400,207615.234375,70.0
723155122,207606.4453125,70.0
723356746,207597.65625,70.0
723557062,207597.65625,70.0
723760624,207588.8671875,70.0
723958285,207597.65625,70.0
724158921,207624.0234375,70.0
724360687,207659.1796875,70.0
724556797,207676.7578125,70.0
724758527,207676.7578125,70.0
724957468,207685.546875,70.0
725159629,207703.125,70.0
725362789,207694.3359375,70.0
725554013,207703.125,70.0
725757002,207694.3359375,70.0
725962583,207694.3359375,70.0
726166391,207667.96875,70.0
726376730,207632.8125,70.0
726561767,207606.4453125,70.0
726759926,207580.078125,70.0
726963602,207430.6640625,70.0
727163982,206833.0078125,70.0
727370199,205040.0390625,70.0
727560505,201770.5078125,70.0
727753565,201770.5078125,70.0
727959840,197455.078125,70.0
728162348,193183.59375,70.0
728376282,190054.6875,70.0
728556975,189087.890625,70.0
728762192,190353.515625,70.0
728962350,193464.84375,70.0
729165651,197323.2421875,70.0
729364506,201436.5234375,70.0
729578088,205268.5546875,70.0
729762975,208520.5078125,70.0
729962126,210770.5078125,70.0
730154468,212106.4453125,70.0
730354303,212677.73437499997,70.0
730560283,212730.46874999997,70.0
730760567,212422.8515625,70.0
730961680,211948.2421875,70.0
731161196,211297.8515625,70.0
731360879,210471.6796875,70.0
731560171,209522.4609375,70.0
731763700,208634.765625,70.0
731966085,208634.765625,70.0
732158002,207922.8515625,70.0
732360491,207333.984375,70.0
732562932,206912.109375,70.0
732756226,206622.0703125,70.0
732958041,206446.2890625,70.0
733158698,206402.34375,70.0
733358239,206481.4453125,70.0
733556510,206648.4375,70.0
733757260,206876.953125,70.0
733960262,207114.2578125,70.0
734163449,207360.3515625,70.0
734374937,207571.2890625,70.0
734572018,207773.4375,70.0
734812853,207905.2734375,70.0
734964817,208010.7421875,70.0
735162241,208054.6875,70.0
735366549,208089.84375,70.0
735574510,208081.0546875,70.0
735763803,208037.109375,70.0
735971073,207984.375,70.0
736157548,207984.375,70.0
736354412,207940.4296875,70.0
736556996,207887.6953125,70.0
736759407,207817.3828125,70.0
736957696,207764.6484375,70.0
737155846,207729.4921875,70.0
737362148,207711.9140625,70.0
737562181,207685.546875,70.0
737763347,207685.546875,70.0
737954320,207667.96875,70.0
738165600,207676.7578125,70.0
738359591,207676.7578125,70.0
738569114,207676.7578125,70.0
738762613,207650.390625,70.0
738961270,207641.6015625,70.0
739163386,207615.234375,70.0
739370005,207571.2890625,70.0
739556218,207492.1875,70.0
739757597,207052.734375,70.0
739958767,205532.2265625,70.0
740163386,202464.84375,70.0
740362861,202464.84375,70.0
740557575,198237.3046875,70.0
740760437,193807.6171875,70.0
740960296,190344.7265625,70.0
741164433,188920.8984375,70.0
741362353,189852.5390625,70.0
741562608,192752.9296875,70.0
741761616,196664.0625,70.0
741963306,200838.8671875,70.0
742164558,204811.5234375,70.0
742364628,208195.3125,70.0
742565430,210682.6171875,70.0
742763029,212167.96875,70.0
742965387,212835.93749999997,70.0
743177011,212915.03906249997,70.0
743362708,212598.63281249997,70.0
743564332,212062.5,70.0
743764656,211376.953125,70.0
743955166,210550.78125,70.0
744193238,209610.3515625,70.0
744358004,209610.3515625,70.0
744567659,208678.7109375,70.0
744795328,207263.671875,70.0
744962749,207263.671875,70.0
745158757,206718.75,70.0
745366377,206279.296875,70.0
745599062,205918.9453125,70.0
745757151,205602.5390625,70.0
745961804,204908.203125,70.0
746159731,203071.2890625,70.0
746362810,199845.703125,70.0
746573867,195776.3671875,70.0
746758477,191970.703125,70.0
746962151,189492.1875,70.0
747159988,189342.7734375,70.0
747375555,191364.2578125,70.0
747565295,194967.7734375,70.0
747759241,199045.8984375,70.0
747964154,203071.2890625,70.0
748162532,206727.5390625,70.0
748364589,209627.9296875,70.0
748570175,211543.9453125,70.0
748762630,211543.9453125,70.0
748961844,212537.109375,70.0
749166401,212862.30468749997,70.0
749362466,212712.89062499997,70.0
749567710,212282.2265625,70.0
749766504,211658.203125,70.0
749957790,210928.7109375,70.0
750154296,210023.4375,70.0
750356311,209091.796875,70.0
750562901,208256.8359375,70.0
750757430,207624.0234375,70.0
750960208,207087.890625,70.0
751160924,206727.5390625,70.0
751360398,206472.65625,70.0
751569194,206358.3984375,70.0
751761908,206393.5546875,70.0
751962628,206542.96875,70.0
